"word","n"
"spirit",9
"sprinkle",9
"stacks",9
"stark",9
"steaks",9
"stem",9
"stout",9
"strands",9
"strangers",9
"striking",9
"strolled",9
"stumbling",9
"submit",9
"submitted",9
"suckers",9
"sufficiently",9
"summed",9
"sunshine",9
"supple",9
"surpasses",9
"susans",9
"suspicions",9
"swiftly",9
"swung",9
"t'so",9
"tadka",9
"telephone",9
"temperatures",9
"temporary",9
"terry",9
"thee",9
"thrive",9
"ting",9
"toasty",9
"togarashi",9
"tomorrow's",9
"towne",9
"translations",9
"travelling",9
"trees",9
"tripes",9
"troubles",9
"trough",9
"trusty",9
"truthfully",9
"tsang's",9
"tung",9
"unaware",9
"understated",9
"unevenly",9
"unhelpful",9
"uninitiated",9
"uninterested",9
"uninteresting",9
"uniqueness",9
"unpacked",9
"unreal",9
"unreasonably",9
"unsatisfying",9
"untrained",9
"urine",9
"users",9
"vat",9
"veins",9
"versed",9
"volumes",9
"waaay",9
"wad",9
"waistline",9
"walker",9
"warranted",9
"whites",9
"wholly",9
"whomever",9
"williamson",9
"wonton's",9
"yin",9
"yumm",9
"棒",9
"饼",9
"到",9
"饭",9
"港式",9
"海鲜",9
"椒",9
"觉得",9
"口",9
"连",9
"卖",9
"你",9
"肉片",9
"三杯",9
"时候",9
"食物",9
"四川",9
"碎",9
"烫",9
"完全",9
"盐",9
"一",9
"因为",9
"0.50",8
"00f4",8
"11.50",8
"13.00",8
"3.75",8
"30.00",8
"39",8
"48",8
"7.75",8
"9.75",8
"a.m",8
"abc",8
"abound",8
"accented",8
"aches",8
"acupressure",8
"ads",8
"affected",8
"aficionado",8
"african",8
"agedashi",8
"amanda",8
"amd",8
"americanised",8
"americanize",8
"amherst",8
"ampd",8
"andy",8
"anglo",8
"anticipating",8
"ants",8
"anyone's",8
"anywho",8
"appearances",8
"apples",8
"appointed",8
"appreciation",8
"approx",8
"architecture",8
"arena",8
"arent",8
"arteries",8
"artfully",8
"aseoma",8
"ash",8
"assessment",8
"assumption",8
"attracts",8
"attributed",8
"averaged",8
"awesomeness",8
"baffling",8
"bagged",8
"baguette",8
"bam",8
"banged",8
"barn",8
"beets",8
"begins",8
"belief",8
"believing",8
"benchmark",8
"bend",8
"benichopsticks",8
"bent",8
"berries",8
"bf's",8
"biriyani",8
"blandest",8
"blatantly",8
"blends",8
"blind",8
"blog",8
"boils",8
"bookmarked",8
"bop",8
"bore",8
"bowling",8
"breathing",8
"briefly",8
"brittle",8
"brownish",8
"bull",8
"bust",8
"busting",8
"buttermilk",8
"butts",8
"buyer",8
"cajun",8
"candies",8
"canonsburg",8
"caps",8
"carafe",8
"carnivores",8
"cartons",8
"cellophane",8
"ceramic",8
"cg",8
"characteristic",8
"charbroiled",8
"chardonnay",8
"cheong",8
"chest",8
"choo",8
"circling",8
"classmates",8
"cleanse",8
"coca",8
"cockroaches",8
"combines",8
"comedy",8
"comical",8
"commit",8
"communicated",8
"comprehend",8
"confidently",8
"congratulations",8
"contaminated",8
"conventional",8
"coolest",8
"cooling",8
"cos",8
"coughing",8
"coz",8
"crammed",8
"cringe",8
"crisped",8
"crisps",8
"crumbled",8
"crummy",8
"culturally",8
"curly",8
"customization",8
"cutlets",8
"d.c",8
"dads",8
"damned",8
"deceive",8
"decipher",8
"declining",8
"deforest",8
"deny",8
"deserving",8
"detect",8
"digestive",8
"dilemma",8
"disapointed",8
"disappear",8
"disco",8
"discolored",8
"disconcerting",8
"disgrace",8
"dish's",8
"disrepair",8
"disrespect",8
"dissuade",8
"distract",8
"doctors",8
"doggie",8
"doggy",8
"dominated",8
"dosas",8
"downer",8
"drench",8
"drill",8
"drinker",8
"driveway",8
"ece",8
"eddie",8
"el",8
"elite",8
"embedded",8
"emperors",8
"escorted",8
"essentials",8
"eta",8
"etiquette",8
"eww",8
"excluding",8
"exemplary",8
"explanations",8
"explode",8
"eyeing",8
"favors",8
"fb",8
"fest",8
"fever",8
"fiancée",8
"filter",8
"finer",8
"firmly",8
"fishballs",8
"flakey",8
"flashes",8
"flashlight",8
"flashy",8
"flexibility",8
"flood",8
"folding",8
"forte",8
"fragrance",8
"frank",8
"fresca",8
"fronts",8
"fuku",8
"function",8
"furnishings",8
"futomaki",8
"gals",8
"garages",8
"garlicy",8
"gary",8
"gatherings",8
"geez",8
"gingery",8
"gnats",8
"goddess",8
"goong",8
"gourmet's",8
"grated",8
"greenfield",8
"gripes",8
"halibut",8
"hankerin",8
"hargow",8
"harmony",8
"height",8
"heritage",8
"honolulu",8
"hooray",8
"hopelessly",8
"hubby's",8
"hungover",8
"hunk",8
"hurting",8
"hybrid",8
"ichiban's",8
"iconic",8
"illness",8
"images",8
"improves",8
"inauthentic",8
"inchin",8
"incomplete",8
"inducing",8
"inevitable",8
"inexplicably",8
"infamous",8
"infertility",8
"inflated",8
"infuriating",8
"ing",8
"inhaled",8
"insect",8
"insider",8
"institution",8
"insurance",8
"interrupt",8
"intolerant",8
"invite",8
"ized",8
"ja",8
"jalepeno",8
"jarring",8
"jars",8
"jaw",8
"jerusalem",8
"jonesing",8
"josh",8
"justified",8
"kalbi",8
"ki",8
"kidneys",8
"kings",8
"kiss",8
"knees",8
"knocks",8
"lac",8
"landed",8
"laundry",8
"leery",8
"letters",8
"lifetime",8
"lifting",8
"lighted",8
"limeade",8
"lip",8
"lipton",8
"littered",8
"log",8
"lone",8
"lookout",8
"luc",8
"lucked",8
"lunar",8
"luxurious",8
"macy's",8
"mainstays",8
"maker",8
"mama's",8
"manning",8
"margarita",8
"margin",8
"marker",8
"masaman",8
"mask",8
"mason",8
"memorial",8
"merit",8
"metallic",8
"meter",8
"mindful",8
"miniscule",8
"mm",8
"mock",8
"modestly",8
"modify",8
"mojitos",8
"molten",8
"monkfish",8
"mouthfeel",8
"muddled",8
"munchies",8
"nani's",8
"navigating",8
"net",8
"netflix",8
"newbie",8
"nightclub",8
"nightmares",8
"nirvana",8
"noises",8
"noods",8
"northfield",8
"notices",8
"novice",8
"nursing",8
"observant",8
"observations",8
"offal",8
"ohh",8
"omurice",8
"operates",8
"oregon",8
"overcrowded",8
"overlooking",8
"panfried",8
"parallel",8
"parlor",8
"partner's",8
"pate",8
"pause",8
"peanutty",8
"peculiar",8
"peeps",8
"peggy",8
"perused",8
"pescatarian",8
"peter",8
"phrase",8
"pies",8
"pirates",8
"pistachio",8
"placemats",8
"pleasurable",8
"plunge",8
"pluses",8
"pomegranate",8
"populated",8
"porky",8
"porn",8
"posh",8
"position",8
"pounding",8
"pray",8
"precise",8
"predict",8
"president",8
"professor",8
"puking",8
"purchasing",8
"purposely",8
"race",8
"rachel",8
"radar",8
"rapidly",8
"reader",8
"realm",8
"reassured",8
"receives",8
"recognizes",8
"recooked",8
"rectify",8
"reddish",8
"refrigerated",8
"refunds",8
"refuses",8
"rehearsal",8
"release",8
"remnants",8
"reopen",8
"reopening",8
"replenish",8
"represented",8
"repulsive",8
"rescue",8
"residence",8
"residue",8
"resting",8
"restriction",8
"retrieve",8
"reverse",8
"rinse",8
"rival",8
"roommates",8
"ryan",8
"rye",8
"sacrifice",8
"safer",8
"sam",8
"sarrut",8
"sause",8
"scant",8
"seedy",8
"seinfeld",8
"semester",8
"shakers",8
"shallots",8
"sherbet",8
"shimp",8
"shove",8
"shoved",8
"sickly",8
"sickness",8
"silence",8
"silently",8
"simultaneously",8
"sinks",8
"sites",8
"skillet",8
"skimped",8
"slab",8
"smallish",8
"smattering",8
"smoother",8
"snippy",8
"so's",8
"softness",8
"sought",8
"soup's",8
"specialities",8
"species",8
"specifications",8
"spontaneously",8
"spoonfuls",8
"spouse",8
"springroll",8
"staff's",8
"stains",8
"starve",8
"stealing",8
"strategy",8
"stretched",8
"strewn",8
"strongest",8
"studio",8
"sturdy",8
"subjective",8
"submerged",8
"subsequently",8
"sunday's",8
"suprised",8
"survived",8
"swap",8
"swearing",8
"swears",8
"swift",8
"tamari",8
"tare",8
"tavernakaya's",8
"tbh",8
"techniques",8
"teenagers",8
"tentative",8
"teppanyaki",8
"territory",8
"tested",8
"testing",8
"textured",8
"thereof",8
"thread",8
"thrill",8
"tian",8
"tiao",8
"tieu",8
"tile",8
"tingle",8
"tint",8
"tinted",8
"tj's",8
"tko",8
"tongues",8
"torture",8
"tragic",8
"transferred",8
"transported",8
"trashy",8
"travesty",8
"tri",8
"trial",8
"trimmed",8
"unauthentic",8
"unclear",8
"understandably",8
"understands",8
"uneasy",8
"unfinished",8
"unkempt",8
"unobtrusive",8
"useless",8
"valid",8
"vanished",8
"vaping",8
"vault",8
"vice",8
"wander",8
"wears",8
"wendy",8
"wheel",8
"wheelchair",8
"whilst",8
"whining",8
"whipped",8
"whitehall",8
"who've",8
"wicked",8
"wink",8
"wisdom",8
"workday",8
"xin",8
"xmas",8
"yeung",8
"yuen",8
"yumminess",8
"yummm",8
"yummmm",8
"zenzen",8
"zest",8
"zhen",8
"吧",8
"差",8
"尝",8
"吃到",8
"肺",8
"丰富",8
"夫妻",8
"个",8
"里",8
"能",8
"黏",8
"酸菜",8
"虽然",8
"外",8
"想",8
"型",8
"要",8
"一般",8
"这个",8
"中国",8
"06",7
"09",7
"11.00",7
"12.00",7
"120",7
"14.00",7
"15.95",7
"15mins",7
"16.95",7
"2006",7
"23.95",7
"250",7
"30mins",7
"41",7
"6.5",7
"6th",7
"730",7
"a4",7
"accoutrements",7
"ace",7
"achieved",7
"acknowledgement",7
"acoustics",7
"actions",7
"adjustments",7
"adventures",7
"afternoons",7
"aggravated",7
"aid",7
"aim",7
"aj",7
"amber",7
"ambitious",7
"annoyingly",7
"anyplace",7
"appeals",7
"approximate",7
"apron",7
"aquarium",7
"asain",7
"asia's",7
"asshole",7
"assisted",7
"astounding",7
"attendant",7
"audacity",7
"austin",7
"avacado",7
"await",7
"awaited",7
"aweful",7
"b2",7
"babe",7
"backwards",7
"bai",7
"balsamic",7
"bangin",7
"banksville",7
"baseline",7
"basing",7
"bearable",7
"beechview",7
"behalf",7
"beige",7
"belonged",7
"ben's",7
"bhutanese",7
"bisque",7
"blackened",7
"blade",7
"blander",7
"blaring",7
"blatant",7
"blessed",7
"blink",7
"blizzard",7
"boats",7
"bonito",7
"bony",7
"booster",7
"bout",7
"bowel",7
"bride",7
"brighter",7
"brimming",7
"buckwheat",7
"buddhist",7
"buffer",7
"bún",7
"burden",7
"burmese",7
"burners",7
"burrito's",7
"busiest",7
"busing",7
"busser",7
"bussing",7
"buzzed",7
"caesar",7
"calmly",7
"caloric",7
"cambodian",7
"canceling",7
"cane",7
"casino",7
"ccc",7
"centre",7
"certified",7
"ch",7
"chalkboard",7
"chalked",7
"changer",7
"characterize",7
"cheep",7
"cheer",7
"cheery",7
"chemicals",7
"chicken's",7
"chillies",7
"chiropractor",7
"choked",7
"chowmein",7
"chuckled",7
"cliche",7
"climb",7
"clouds",7
"clove",7
"cnn",7
"coin",7
"collected",7
"collecting",7
"collins",7
"column",7
"combining",7
"commitment",7
"communities",7
"companies",7
"concoctions",7
"confession",7
"conflicted",7
"connection",7
"connie",7
"conscientious",7
"consomme",7
"constructive",7
"corking",7
"correcting",7
"corridor",7
"couches",7
"counterpart",7
"crafton",7
"crank",7
"cranky",7
"craves",7
"creamier",7
"creature",7
"cripsy",7
"croutons",7
"cue",7
"dashi",7
"dave",7
"day's",7
"dec",7
"declared",7
"deduct",7
"defeats",7
"defend",7
"delicous",7
"demolished",7
"development",7
"diets",7
"differing",7
"diligent",7
"dint",7
"disastrous",7
"discrimination",7
"disguise",7
"disgust",7
"distinction",7
"docking",7
"doubled",7
"dramatic",7
"draws",7
"dreaded",7
"dreadful",7
"drip",7
"drying",7
"dtf",7
"dubious",7
"duct",7
"dumps",7
"effectively",7
"effing",7
"efforts",7
"elated",7
"elevator",7
"elusive",7
"encased",7
"encounters",7
"encrusted",7
"endure",7
"estimation",7
"european",7
"everything's",7
"exchanged",7
"exercise",7
"expects",7
"expiration",7
"fantail",7
"feng",7
"filets",7
"filtered",7
"finicky",7
"fishes",7
"fitness",7
"flattop",7
"flew",7
"floored",7
"fluid",7
"flustered",7
"foray",7
"forces",7
"forgiven",7
"freeport",7
"fritters",7
"functional",7
"gained",7
"galore",7
"gamy",7
"gap",7
"gathered",7
"gaudy",7
"gee",7
"gel",7
"generosity",7
"gills",7
"gimmick",7
"glistening",7
"globs",7
"gloomy",7
"goofy",7
"googled",7
"goop",7
"grandparents",7
"grant",7
"grape",7
"gravitate",7
"greeter",7
"growling",7
"gruff",7
"guts",7
"halwa",7
"han's",7
"hannah",7
"hao",7
"harm",7
"harried",7
"harvest",7
"haters",7
"havent",7
"haves",7
"heater",7
"hh",7
"hiccup",7
"hideous",7
"hilton",7
"hiring",7
"historic",7
"hm",7
"hoa",7
"hockey",7
"hollandaise",7
"honorable",7
"hosting",7
"hotdog",7
"hotpots",7
"hunter",7
"illegal",7
"immaculately",7
"impressively",7
"inability",7
"incarnation",7
"increasing",7
"indians",7
"indicative",7
"induced",7
"induction",7
"indulging",7
"infested",7
"influenced",7
"influences",7
"instances",7
"intake",7
"intensely",7
"intentionally",7
"internal",7
"interview",7
"invented",7
"involves",7
"irked",7
"jacket",7
"jellies",7
"jessica",7
"johns",7
"jojo",7
"ken",7
"kettle",7
"khoo's",7
"kiddos",7
"kitchen's",7
"kiwi",7
"kombucha",7
"kristen",7
"kungpao",7
"la's",7
"laced",7
"lad",7
"lady's",7
"laminated",7
"laptop",7
"lavida",7
"laziness",7
"le",7
"lease",7
"leathery",7
"lends",7
"limits",7
"lingered",7
"loaf",7
"lock",7
"logged",7
"logic",7
"logo",7
"longtime",7
"lot's",7
"lumpy",7
"lure",7
"madness",7
"mah",7
"maintaining",7
"mantou",7
"masseuse",7
"measures",7
"melded",7
"mercy",7
"midday",7
"middlefield",7
"midst",7
"mifflin",7
"might've",7
"migraines",7
"mimosa",7
"mimosas",7
"minds",7
"misled",7
"mobility",7
"mooshoo",7
"motivated",7
"mozzarella",7
"multitude",7
"mural",7
"murals",7
"mussaman",7
"mutton",7
"nah",7
"naruto",7
"nat",7
"nation",7
"negroni",7
"newcomers",7
"ninja",7
"nuanced",7
"nutrition",7
"nutshell",7
"nye",7
"oak",7
"objectively",7
"observation",7
"obtain",7
"obtained",7
"offputting",7
"oniony",7
"optimistic",7
"optional",7
"origins",7
"outdoors",7
"oversized",7
"pakora",7
"pamela's",7
"panel",7
"passive",7
"patients",7
"patronized",7
"peaches",7
"peanuty",7
"pebbles",7
"peeked",7
"peeled",7
"pens",7
"perennial",7
"permeate",7
"petty",7
"phase",7
"phoned",7
"pickiest",7
"pickings",7
"pig's",7
"pillow",7
"placement",7
"plantains",7
"playlist",7
"poa",7
"poisoned",7
"pomelo",7
"poorest",7
"portland",7
"possibilities",7
"praying",7
"predominantly",7
"pretending",7
"priceless",7
"pristine",7
"prix",7
"prize",7
"proactive",7
"professionally",7
"protect",7
"puke",7
"pumped",7
"purse",7
"qualifies",7
"quarts",7
"ra",7
"rail",7
"raita",7
"ramp",7
"ranking",7
"ravioli",7
"razor",7
"realistic",7
"recalled",7
"recommand",7
"recover",7
"refried",7
"regrets",7
"reiterate",7
"relied",7
"relying",7
"remarks",7
"reminding",7
"respected",7
"restaurent",7
"restocked",7
"restocking",7
"resturants",7
"resulting",7
"reuse",7
"reused",7
"revamped",7
"revisited",7
"richly",7
"ridden",7
"rinds",7
"rises",7
"rising",7
"risky",7
"ritual",7
"rob",7
"robbed",7
"robbery",7
"rockside",7
"rung",7
"rut",7
"sacha",7
"saga",7
"salivating",7
"sammie",7
"sammy",7
"satiate",7
"saute",7
"saver",7
"scarce",7
"scarfed",7
"scenario",7
"scope",7
"scramble",7
"scrape",7
"scratched",7
"screens",7
"scrubbing",7
"sensational",7
"sentimental",7
"separating",7
"shaken",7
"shakes",7
"shards",7
"shined",7
"ship",7
"shoddy",7
"shortcuts",7
"shrunk",7
"sickening",7
"sierra",7
"siew",7
"sis",7
"skewered",7
"slamming",7
"slapped",7
"sliding",7
"sliver",7
"sloppily",7
"slurped",7
"slush",7
"snapped",7
"snarky",7
"sneaky",7
"snotty",7
"soaks",7
"sober",7
"soften",7
"soju",7
"sources",7
"specifics",7
"spectacle",7
"spirited",7
"spirits",7
"spitting",7
"spooned",7
"stainless",7
"staircase",7
"statue",7
"strangest",7
"strayed",7
"stroll",7
"stuffs",7
"stunk",7
"subdued",7
"summers",7
"supervisor",7
"supported",7
"surf",7
"sushis",7
"suspected",7
"swim",7
"symbol",7
"szchuan",7
"tale",7
"tamale",7
"tanginess",7
"taped",7
"tar",7
"tartness",7
"tastey",7
"tea's",7
"teapot",7
"teh",7
"temper",7
"tempora",7
"tendency",7
"tentacles",7
"terrified",7
"thakkali",7
"thanking",7
"that'd",7
"thier",7
"threshold",7
"thumb",7
"ti",7
"tiles",7
"tina's",7
"tiramisu",7
"titled",7
"toddlers",7
"togethers",7
"tools",7
"toothsome",7
"trades",7
"tranquil",7
"translucent",7
"trapped",7
"traveler",7
"travelers",7
"tsingtao",7
"tuned",7
"tunnel",7
"turtles",7
"tweak",7
"twin",7
"tx",7
"typo",7
"umbrellas",7
"unbearably",7
"unedible",7
"unfresh",7
"uniforms",7
"unrealistic",7
"unrecognizable",7
"unsatisfactory",7
"upkeep",7
"upwards",7
"urchin",7
"vain",7
"valuable",7
"ve",7
"vendor",7
"ventilation",7
"verbally",7
"vey",7
"vile",7
"vintage",7
"vinyl",7
"viscous",7
"vittles",7
"vivid",7
"vomited",7
"wai's",7
"wallets",7
"warrants",7
"waving",7
"wax",7
"weakness",7
"werent",7
"whatnot",7
"whisky",7
"wobbly",7
"wonders",7
"wretched",7
"xian",7
"y'know",7
"yielded",7
"youtube",7
"yuan",7
"yuppie",7
"zippy",7
"爱",7
"被",7
"不要",7
"餐馆",7
"个人",7
"雞",7
"几",7
"惊",7
"绝对",7
"看",7
"辣",7
"两",7
"没",7
"糯",7
"排骨",7
"配",7
"品",7
"让",7
"热",7
"送",7
"头",7
"一点",7
"应该",7
"用餐",7
"再",7
"赞",7
"中餐",7
"00e4",6
"02",6
"1.99",6
"10min",6
"10p",6
"130",6
"14.95",6
"1994",6
"1997",6
"1hr",6
"2.25",6
"2005",6
"2008",6
"22.99",6
"25.00",6
"4.25",6
"400",6
"57",6
"59",6
"5x",6
"67",6
"91",6
"abroad",6
"abruptly",6
"accepts",6
"aces",6
"acidic",6
"acidity",6
"acme",6
"adapted",6
"admission",6
"agrees",6
"ahhh",6
"ailments",6
"aiming",6
"aint",6
"aken",6
"albacore",6
"aldi",6
"alittle",6
"alterations",6
"ameri",6
"american's",6
"amidst",6
"amp",6
"anemic",6
"anti",6
"anxiously",6
"apartments",6
"apathetic",6
"appetit",6
"applaud",6
"appreciates",6
"appt",6
"artist",6
"artsy",6
"assemble",6
"astonishing",6
"attacked",6
"avalanche",6
"averages",6
"awe",6
"aye",6
"backup",6
"bailey",6
"balances",6
"balcony",6
"baltimore",6
"banner",6
"banter",6
"bao's",6
"basmati",6
"beginner",6
"begrudgingly",6
"behaved",6
"belated",6
"bells",6
"beneficial",6
"berry",6
"bhel",6
"bid",6
"billion",6
"bing",6
"birds",6
"bitchy",6
"blasting",6
"blob",6
"blonde",6
"boa",6
"boasted",6
"bodied",6
"boggling",6
"bounds",6
"boxing",6
"brian",6
"brocoli",6
"browsing",6
"bu",6
"buffet's",6
"bumping",6
"bundles",6
"buttons",6
"bys",6
"cafe's",6
"caked",6
"cal",6
"cami",6
"campusfood",6
"campusfood.com",6
"cao",6
"cashier's",6
"caucasians",6
"caved",6
"caviar",6
"celiac",6
"celli",6
"chaat",6
"chasing",6
"chaya",6
"cheapness",6
"cheeks",6
"cheesesteak",6
"chendu",6
"chewable",6
"chewier",6
"chiang",6
"chien",6
"child's",6
"chin",6
"china's",6
"chinease",6
"chiu",6
"cho",6
"chopping",6
"circles",6
"citizen",6
"citrusy",6
"clarification",6
"classier",6
"classify",6
"claw",6
"clevelanders",6
"cleverly",6
"clothing",6
"clutch",6
"coincidentally",6
"collar",6
"commend",6
"commons",6
"compassion",6
"compensated",6
"completing",6
"conclude",6
"concrete",6
"conflicting",6
"congestion",6
"connect",6
"consensus",6
"considerable",6
"consult",6
"consultation",6
"consulted",6
"contract",6
"contrasted",6
"conversed",6
"convo",6
"corny",6
"cosmo",6
"cotton",6
"coy",6
"cracking",6
"creatures",6
"crowding",6
"crumble",6
"curl",6
"cursed",6
"curtains",6
"curve",6
"cusine",6
"customizing",6
"dahntahn",6
"datsi",6
"deaf",6
"dean",6
"deceptively",6
"deconstructed",6
"decorate",6
"decorating",6
"deducted",6
"deelish",6
"definitly",6
"deliberately",6
"demands",6
"denny's",6
"depend",6
"dependent",6
"desperation",6
"destroyed",6
"deviate",6
"devine",6
"dicey",6
"differs",6
"dimsums",6
"disadvantage",6
"disagreed",6
"discern",6
"discouraged",6
"disguised",6
"dissapointment",6
"dissatisfaction",6
"distant",6
"distinguish",6
"dives",6
"divider",6
"dizzy",6
"dolsot",6
"dominant",6
"dong",6
"doorbell",6
"doubtful",6
"doughnut",6
"downgrade",6
"dragons",6
"drawer",6
"drums",6
"drumstick",6
"dumbed",6
"dumbfounded",6
"dunkin",6
"dusted",6
"dynamic",6
"eastlake",6
"eccentric",6
"edited",6
"eek",6
"electronic",6
"elegantly",6
"elephant",6
"eliminates",6
"embarrassment",6
"emotional",6
"employment",6
"endorse",6
"ensured",6
"enthused",6
"entitled",6
"entres",6
"envy",6
"era",6
"err",6
"espresso",6
"establishment's",6
"eternity",6
"evidenced",6
"evil",6
"ewe",6
"exaggerated",6
"examine",6
"excel",6
"excite",6
"exclusive",6
"expansion",6
"exploded",6
"extend",6
"facials",6
"facilities",6
"faintly",6
"fax",6
"feasted",6
"feat",6
"fettuccine",6
"fibrous",6
"fiend",6
"filipino",6
"finals",6
"fires",6
"firmer",6
"fixes",6
"fl",6
"flaccid",6
"flaw",6
"flawed",6
"flesh",6
"flipping",6
"flooded",6
"florescent",6
"flown",6
"fluids",6
"font",6
"forgetful",6
"forgo",6
"formed",6
"fraiche",6
"freely",6
"freindly",6
"frickin",6
"friday's",6
"funeral",6
"furthest",6
"gammon",6
"gastrointestinal",6
"gaw",6
"genera",6
"gilman",6
"ginza",6
"girl's",6
"glob",6
"glop",6
"gluttony",6
"gnocchi",6
"gochujang",6
"goddamn",6
"goji",6
"goldfish",6
"gordon",6
"gorge",6
"grabs",6
"gradually",6
"graham",6
"grail",6
"granddaughter",6
"grandfather",6
"grayish",6
"graze",6
"greasiness",6
"groom",6
"grove",6
"grows",6
"guacamole",6
"guava",6
"gulp",6
"hah",6
"halved",6
"hangings",6
"harassed",6
"hats",6
"haunts",6
"haven",6
"hawk",6
"headaches",6
"healer",6
"heart's",6
"heirloom",6
"heres",6
"hiatus",6
"hinted",6
"hoisen",6
"holistic",6
"horizons",6
"horrendously",6
"horrified",6
"hotness",6
"hovered",6
"hua",6
"hugely",6
"hugs",6
"hygienic",6
"hyper",6
"icecream",6
"icon",6
"identifiable",6
"illusion",6
"imaginative",6
"imagining",6
"immigrants",6
"impeccably",6
"impersonal",6
"imply",6
"importance",6
"improperly",6
"inclusive",6
"income",6
"incorporated",6
"indistinguishable",6
"indulgence",6
"inoffensive",6
"insects",6
"insipid",6
"instincts",6
"interpretations",6
"interrupting",6
"invested",6
"irvine",6
"israeli",6
"iwok",6
"j's",6
"jenn",6
"jjajangmyun",6
"kathy",6
"kee's",6
"kentucky",6
"kills",6
"knack",6
"knee",6
"kobe",6
"korma",6
"lactose",6
"landing",6
"laotian",6
"latin",6
"laughs",6
"leaps",6
"learns",6
"legal",6
"legend",6
"lend",6
"lentil",6
"lentils",6
"licking",6
"lifestyle",6
"linger",6
"linguine",6
"listens",6
"liz",6
"loin",6
"lola",6
"lomain",6
"loop",6
"loosing",6
"lottery",6
"lovingly",6
"lowering",6
"lumps",6
"lured",6
"luscious",6
"magazines",6
"maggot",6
"majorly",6
"manager's",6
"mannered",6
"marathon",6
"marginally",6
"martini's",6
"mealy",6
"measuring",6
"mecca",6
"medallions",6
"mei's",6
"mental",6
"mentally",6
"merits",6
"metered",6
"meters",6
"methods",6
"metropolitan",6
"mexico",6
"mickey",6
"micro",6
"military",6
"miller",6
"mince",6
"minimally",6
"minimize",6
"minneapolis",6
"mirror",6
"mite",6
"mode",6
"mongolia",6
"monopoly",6
"moody",6
"mooshu",6
"mop",6
"ms",6
"mundane",6
"murky",6
"musical",6
"muted",6
"mw",6
"napali",6
"napoleon",6
"neglect",6
"neo",6
"niceties",6
"noddle",6
"noir",6
"nomnomnom",6
"northwestern",6
"noses",6
"notion",6
"nourishment",6
"o.g",6
"objective",6
"objects",6
"obligated",6
"oblige",6
"oblivion",6
"observe",6
"occupies",6
"occurs",6
"oftentimes",6
"oilier",6
"okra",6
"oliver",6
"omit",6
"omitted",6
"omnivores",6
"oomph",6
"opaque",6
"opportunities",6
"ouch",6
"outcome",6
"overcooking",6
"overjoyed",6
"overnight",6
"overpoweringly",6
"pads",6
"pairs",6
"palace's",6
"pales",6
"pallet",6
"panda's",6
"pang",6
"panic",6
"papa",6
"pastrami",6
"pecking",6
"peek",6
"peeved",6
"peppermint",6
"performed",6
"permanent",6
"permission",6
"perusing",6
"phos",6
"picnic",6
"pinky",6
"pinpoint",6
"pints",6
"piquant",6
"pitch",6
"pitched",6
"pla",6
"plainly",6
"platform",6
"plopped",6
"politeness",6
"portobello",6
"pounded",6
"practical",6
"praised",6
"predictably",6
"premier",6
"premise",6
"premises",6
"prepares",6
"preserve",6
"prevents",6
"prik",6
"professionals",6
"progressively",6
"prominent",6
"prompting",6
"proprietor",6
"protip",6
"proves",6
"puffed",6
"pushes",6
"qie",6
"qualms",6
"quibble",6
"raymond",6
"reactions",6
"readers",6
"realization",6
"reassuring",6
"recap",6
"recieved",6
"reconsider",6
"rediscovered",6
"reduction",6
"references",6
"refresher",6
"reg",6
"reimburse",6
"rejoice",6
"relieve",6
"replenishing",6
"residential",6
"respects",6
"reusable",6
"rind",6
"roads",6
"rocket",6
"rotated",6
"rumors",6
"rundown",6
"rushes",6
"rusty",6
"sabayon",6
"sacrificing",6
"safest",6
"saigon's",6
"sakes",6
"saltiest",6
"sandy",6
"sanitizer",6
"sao",6
"sarcastic",6
"satisfiedcustomer",6
"sau",6
"sauna",6
"scares",6
"schools",6
"scolding",6
"scorched",6
"sculptures",6
"seasame",6
"secondary",6
"security",6
"sends",6
"seperate",6
"servicing",6
"seth",6
"sewage",6
"sewer",6
"shaanxi",6
"shack",6
"shallow",6
"shameful",6
"shanxi",6
"shattering",6
"shes",6
"shifts",6
"shirley",6
"shogun",6
"shooting",6
"shorts",6
"shrug",6
"sidenote",6
"sil",6
"similarities",6
"simplest",6
"simplified",6
"simplistic",6
"sitdown",6
"siumai",6
"sizeable",6
"skeptic",6
"skinned",6
"snagged",6
"snobby",6
"soapy",6
"sol",6
"solved",6
"som",6
"sooooooo",6
"soundtrack",6
"sourdough",6
"sparsely",6
"spends",6
"spicyness",6
"splatter",6
"sporadically",6
"spray",6
"springs",6
"sprinkling",6
"stalk",6
"stalks",6
"stalls",6
"steered",6
"stephanie",6
"stereotype",6
"stirfried",6
"stormy",6
"stretching",6
"stripmall",6
"substitutes",6
"summarize",6
"summertime",6
"sumptuous",6
"sunrise",6
"supplements",6
"surreal",6
"survey",6
"suspiciously",6
"swarming",6
"sworn",6
"ta",6
"tablespoons",6
"tack",6
"tais",6
"takoyaki",6
"tam",6
"tambellini's",6
"tastebud",6
"tau",6
"temporarily",6
"tense",6
"tests",6
"texturally",6
"their's",6
"thirds",6
"thrice",6
"thriving",6
"tht",6
"thud",6
"thurs",6
"ties",6
"tings",6
"tini",6
"tiniest",6
"tot",6
"totaled",6
"tournament",6
"toyota",6
"traces",6
"tracks",6
